,Activation Mode,Default Binding,Mine,Alt Mine,Note
Electronic Access - Spectator,,,DT= Double Tap,,"I tend to think of L/R Modifiers as in Left/Right, Lower/Raise, Lock/Release. It just seems easier for me to remember."
Spectator Camera Target (Next),,Button 2 (mouse,,,
Spectator Camera Target (Previous),,Button 1 (mouse,,,
Spectator Camera Lock Target,,1,,,
Spectator Camera Zoom,,Mouse Wheel,,,
Spectator Camera Zoom In,,Mouse Wheel Up,,,
Spectator Camera Zoom Out,,Mouse Wheel Down,,,
Spectator Camera Rotate Yaw,,X-axis (mouse),,,
Spectator Camera Rotate Pitch,,Y-axis (mouse),,,
Spectator Camera Rotate Yaw,,,,,
Spectator Camera Rotate Pitch,,,,,
Spectator Camera HUD (Toggle),,B,,,
Spectator Camera Mode (Next),,F4,,,
Spectator Camera Mode (Previous),,,,,
Camera - Advanced Camera Controls,,,,,
Advanced Camera Controls Modifier (Hold),Hold,F4,L Ctrl,,"Mine allows me to control the camera with one hand. And since it is a hold function, you can still use it as a Tap or DT in another function. Might conflict, depending on the function you choose."
Advanced Camera Controls Modifier (Hold),Hold,Z,,,This doesn't seem to do the same as the above. Not sure it does anything for cameras.
Save View 1,Hold,Numpad 1,,,
Save View 2,Hold,Numpad 2,,,
Save View 3,Hold,Numpad 3,,,
Save View 4,Hold,Numpad 4,,,
Save View 5,Hold,Numpad 5,,,
Save View 6,Hold,Numpad 6,,,
Save View 7,Hold,Numpad 7,,,
Save View 8,Hold,Numpad 8,,,
Save View 9,Hold,Numpad 9,,,
Load View 1,,Numpad 1,,,
Load View 2,,Numpad 2,,,
Load View 3,,Numpad 3,,,
Load View 4,,Numpad 4,,,
Load View 5,,Numpad 5,,,
Load View 6,,Numpad 6,,,
Load View 7,,Numpad 7,,,
Load View 8,,Numpad 8,,,
Load View 9,,Numpad 9,,,
Clear Saved View,,Numpad 0,Np Decimal,,
X Offset Positive,,Right Arrow,,,
X Offset Negative,,Left Arrow,,,
Y Offset Positive / Spectator Freecam Focal Point Forward,,Up Arrow,,,
Y Offset Negative / Spectator Freecam Focal Point Backward,,Down Arrow,,,
Z Offset Positive,,Page Up,,,
Z Offset Negative,,Page Down,,,
Increase FoV,,Numpad +,,,
Decrease FoV,,Numpad -,,,
Increase DoF,,Home,,,
Decrease DoF,,End,,,
Reset Current View,,Numpad *,Np 0,,
