5-22-2025 Slowly Updating for 4.1.1,A Spectrum post for a brief explanation - https://robertsspaceindustries.com/spectrum/community/SC/forum/3/thread/keybind-spreadsheet-updated-for-3-18-0-for-you,,,,
10-21-24 It seems we can now create modifiers in game again.,,,,,
"10-21-24 ""Alt Mine"" are now completely off the rails. Use at your own risk. 12-5-24 I am currently trying to fix these. Will note here when finished.",,,,,
"I tend to think of L/R modifiers as in Left/Right, Lower/Raise, Lock/Release. It just seems easier for me to remember.",,,,,
,Activation Mode,Default Binding,Mine,Alt Mine,Note
Vehicles - Seats and Operator Modes,,,DT= Double Tap,,"I tend to think of L/R Modifiers as in Left/Right, Lower/Raise, Lock/Release. It just seems easier for me to remember."
Emergency Exit Seat,,U + Left Shift,R Alt+Y,,(R)ace out of your seat.
Eject,Hold???,R Alt + Y,L Alt+Y,,(L)aunch out of your seat.
Look Behind,,Comma,NONE,,
Toggle Mining Operator Mode,,M,,,"3.24.2 Using M in various bindings in ""Mine"" is now conflicting with itself in many ways. IE: M now puts my Vulture and MPUVT in missile mode. Which shouldn't even be possible with either of them."
Toggle Salvage Operator Mode,,M,,,
Toggle Scanning Operator Mode,,V,\,\,
Toggle Quantum Operator Mode,,,,,"This seemed to work the first day it was in game, then quit working. But this would also do the same thing as Toggle Flight Operator Mode anyway."
Toggle Missile Operator Mode,,,M,M,
Toggle Guns Operator Mode,,,,,
Toggle Flight Operator Mode,,,R Alt+Q,V,This will toggle between Nav Flight and Quantum.
Set Mining Operator Mode,,,,,
Set Salvage Operator Mode,,,,,
Set Scanning Operator Mode,,,,,
Set Quantum Operator Mode,,,R Alt+V,,
Set Missile Operator Mode,,,,,
Set Guns Operator Mode,,,,,
Set Flight Operator Mode,,,L Alt+V,,
Enter Remote Turret 1,,,Up Arrow,Up Arrow,These will put you in any remote turret from a seat/positon that has access to one.
Enter Remote Turret 2,,,L Arrow,L Arrow,
Enter Remote Turret 3,,,R Arrow,R Arrow,
Next Operator Mode,,Button 3 (mouse),NONE,NONE,
Previous Operator Mode,,,,,
Vehicles - Cockpit,,,,,
Self Destruct,,Backspace,,,
Increase Cooler Rate,,,R Alt+R,,
Decrease Cooler Rate,,,L Alt+R,,
Flight / Systems Ready,,R Alt + R,R DT,Np 0,"I have found whatever binding you have here, can be used to reset many controls/settings, since your ship is already on."
Open/Close Doors (Toggle),,,D DT,R Alt+D,
Open All Doors,,,R Ctrl+D,,
Close All Doors,,,L Ctrl+D,,
Lock / Unlock Doors (Toggle),,,,L Alt+D,
Lock All Doors,,,L Alt+D,,Mine will conflict with default Salvage Toggle Fire Right. Salvage bindings have been redone to make more sense to me.
Unlock All Doors,,,R Alt+D,,Mine will conflict with default Salvage Focus Right Salvage Head.
Port Lock Toggle All,,R Alt + K,NONE,,
Port Lock All,,,L Alt+K DT,,
Port Unlock All,,,R Alt+K DT,,
Vehicles - View,,,,,
Look Left,,,,,
Look Right,,,,,
Look Left/Right,,X-axis (mouse),,,
Look Up,,,,,
Look Down,,,,,
Look Up/Down,,Y-axis (mouse),,,
Cycle camera view,,F4,???,,
Cycle Camera Orbit Mode,,,,,What the heck is this??? Its been around since we could play.
Zoom In (3rd Person View),,Mouse Wheel Up,,,
Zoom Out (3rd Person View),,Mouse Wheel Down,,,
Freelook (Hold),Hold,Z,,,
Dynamic Zoom In / Out (rel),,,,,
Dynamic Zoom In (rel),,,,,
Dynamic Zoom Out (rel),,,,,
Dynamic Zoom Toggle (abs),,,Z,Z,
@ui_v_ads_hold,,,,,"These are the previous ""Precison Targeting"" options."
@ui_v_ads_toggle,,Button 2 (mouse),8 DT,8 DT,
@ui_v_ads_toggle_stable_max_zoom_hold,,Button 2 (mouse),8,8,This is active as long as you hold it. Its quite impressive. Now if we could get this feature on our helmets.
@ui_v_ads_cycle_tracking,,R Alt + Button 2 (mouse),R Ctrl,R Ctrl,"I'm trying to use R Ctrl for a lot of resetting options, but have to be cautious about what it may conflict with as a modifier too. So far so good."
Flight - Movement,,,,,
Pitch Up,,,,,
Pitch Down,,,,,
Pitch,,Y-axis (mouse),NONE,,
Yaw Left,,,,,
Yaw Right,,,,,
Yaw,,X-axis (mouse),NONE,,
Roll Left,,Q,NONE,,
Roll Right,,E,NONE,,
Roll,,,,,
Cycle Mouse Mode (VJoy / Relative),,,,,"This can be very useful for mouse users at times, try it out."
Swap Yaw/Roll (Toggle),,,,,
Strafe Up (abs),,Spacebar,R Alt+S,,
Strafe Down (abs),,L Ctrl,L Alt+S,,
Strafe Up / Down (abs),,,,,
Strafe Left (abs),,A,NONE,,
Strafe Right (abs),,D,NONE,,
Strafe Left/Right (abs),,,,,
Throttle - Increase,,W,R Ctrl+S,,
Throttle - Decrease,,S,L Ctrl+S,,
Throttle - Forward / Back,,,,,
Throttle - Forward / Back Invert,,,,,
Throttle - Cruise Mode - Toggle,,L Alt + C,C DT,,
Throttle - Cruise Mode - Enable,,,,,
Throttle - Cruise Mode - Disable,,,,,
Throttle - Trim - Set (Long Press),,,,,
Throttle - Trim - Set (Short Press),,,,,
Throttle - Trim - Set To 100% (Long Press),,,,,
Throttle - Trim - Set To 100% (Short Press),,,R Ctrl+C,,
Throttle - Trim - Set To 50% (Long Press),,,,,
Throttle - Trim - Set To 50% (Short Press),,,L Ctrl+C,,
Throttle - Trim - Release (Long Press),,X,NONE,,
Throttle - Trim - Release (Short Press),,X,NONE,,
"Decouple Mode (Toggle, Hold)",,C,,,
Boost,,L Shift,A,,
Speed Limiter Increase (hold),,,,,
Speed Limiter Decrease (hold),,,,,
Speed Limiter Step Up (tap),,L Alt + Mouse Wheel Up,,,
Speed Limiter Step Down (tap),,L Alt + Mouse Wheel Dn,,,
Speed Limiter (Rel.),,,NONE,,
Speed Limiter (Abs.),,,,,
Speed Limiter Enable/Disable,,,S,,
Speed Limiter Enable,,,,,
Speed Limiter Disable,,,,,
Acceleration Limiter Increase (hold),,,,,
Acceleration Limiter Decrease (hold),,,,,
Acceleration Limiter Step Up (tap),,R Alt + Mouse Wheel,R Alt+A,,
Acceleration Limiter Step Down (tap),,R Alt + Mouse Wheel,L Alt+A,,
