,Activation Mode,Default Binding,Mine,Alt Mine,Note
Ground Vehicle - General,,,DT= Double Tap,,"I tend to think of L/R Modifiers as in Left/Right, Lower/Raise, Lock/Release. It just seems easier for me to remember."
Horn,,Spacebar,,,
Cycle Camera View,,F4,,,
Zoom In (3rd Person View),,Mouse Wheel Up,,,
Zoom Out (3rd Person View),,Mouse Wheel Down,,,
Look Left / Right,,X-Axis (mouse),,,
Look Up / Down,,Y-Axis (mouse),,,
Free Look (Hold),Hold,Z,,,
MobiGlass (Toggle),,F1,,,
Flight / Systems Ready,,R Alt + R,R DT,R,
Open/Close Doors (Toggle),,,D,R Alt+D,
Open All Doors,,,R Ctrl+D,,
Close All Doors,,,L Ctrl+D,,
Lock/Unlock Doors (Toggle),,,,L Alt+D,
Lock All Doors,,,L Alt+D,,
Unlock All Doors,,,R Alt+D,,
Port Lock Toggle All,,R Alt + K,,L Alt+K,
Port Lock All,,,L Alt+K DT,,
Port Unlock All,,,R Alt+K DT,,
Map,,F2,,,
Wipe Helmet Visor,,L Alt + X,Backspace,/,
Ground Vehicle - Movement,,,,,
Drive Forward,,W,R Ctrl+S,,
Drive Backward,,S,L Ctrl+S,,
Drive Forward/Backward,,,,,
Turn Left,,A,NONE,,
Turn Right,,D,NONE,,
Turn Left/Right,,,,,
Yaw Left/Right (Mouse),,,X Axis Mouse,,This is the axis it takes for me to control the Rover mining arm.
@ui_CI_MGV_Pitch_ Up,,,,,
@ui_CI_MGV_Pitch_ Down,,,,,
Pitch Up / Down (Mouse),,,Y Axis Mouse,,This is the axis it takes for me to control the Rover mining arm.
Brake,,X,,,
Dynamic Zoom In / Out (Rel.),,,,,
Dynamic Zoom In (Rel.),,,,,
Dynamic Zoom Out (Rel.),,,,,
Dynamic Zoom In / Out (Abs.),,,,,
Dynamic Zoom Toggle (Abs.),,,,,
Boost,,L Shift,A,,
Lock Pitch Yaw Movement (Toggle/Hold),,R Shift,,,
@ui_CI_MGV_Toggle Break On Idle,,C,,,
