,Activation Mode,Default Binding,Mine,Alt Mine,Note
Vehicles - Multi Function Displays (MFDs),,,DT= Double Tap,,"I tend to think of L/R Modifiers as in Left/Right, Lower/Raise, Lock/Release. It just seems easier for me to remember."
MFD - Cycle Page - Forwards (short press),,L Alt + E,,,
MFD - Cycle Page - Forwards (long press),,,,,
MFD - Cycle Page - Backwards (short press),,L Alt + Q,,,
MFD - Cycle Page - Backwards (long press),,,,,
MFD - Movement - Up (short press),,,,,
MFD - Movement - Up (long press),,,,,
MFD - Movement - Down (short press),,,,,
MFD - Movement - Down(long press),,,,,
MFD - Movement - Left (short press),,,,,
MFD - Movement - Left (long press),,,,,
MFD - Movement - Right (short press),,,,,
MFD - Movement - Right (long press),,,,,
MFD - Movement - Up (short press),,,,,
MFD - Select - Primary (short press),,,,,
MFD - Select - Primary (long press),,,,,
MFD - Select - Left (short press),,,,,
MFD - Select - Left (long press),,,,,
MFD - Select - Right (short press),,,,,
MFD - Select - Right (long press),,,,,
MFD - Select - MFD 1 (short press),,,,,
MFD - Select - MFD 1 (long press),,,,,
MFD - Select - MFD 2 (short press),,,,,
MFD - Select - MFD 2 (long press),,,,,
MFD - Select - MFD 3 (short press),,,,,
MFD - Select - MFD 3 (long press),,,,,
MFD - Select - MFD 4 (short press),,,,,
MFD - Select - MFD 4 (long press),,,,,
MFD - Select - MFD 5 (short press),,,,,
MFD - Select - MFD 5 (long press),,,,,
MFD - Select - MFD 6 (short press),,,,,
MFD - Select - MFD 6 (long press),,,,,
MFD - Select - MFD 7 (short press),,,,,
MFD - Select - MFD 7 (long press),,,,,
MFD - Select - MFD 8 (short press),,,,,
MFD - Select - MFD 8 (long press),,,,,
MFD - Select - MFD 9 (short press),,,,,
MFD - Select - MFD 9 (long press),,,,,
MFD - Select - MFD 10 (short press),,,,,
MFD - Select - MFD 10 (long press),,,,,
MFD - Set Page - Self Status (short press),,,,,
MFD - Set Page - Self Status (long press),,,,,
MFD - Set Page - Target Status (short press),,,,,
MFD - Set Page - Target Status (long press),,,,,
MFD - Set Page - Scanning (short press),,,,,
MFD - Set Page - Scanning (long press),,,,,
MFD - Set Page - Vehicle Configuration (short press),,,,,
MFD - Set Page - Vehicle Configuration (long press),,,,,
MFD - Set Page - Communications (short press),,,,,
MFD - Set Page - Communications (long press),,,,,
MFD - Set Page - IFCS (short press),,,,,
MFD - Set Page - IFCS (long press),,,,,
MFD - Set Page - Diagnostics (short press),,,,,
MFD - Set Page - Diagnostics (long press),,,,,
MFD - Set Page - Resource Network (short press),,,,,
MFD - Set Page - Resource Network (long press),,,,,
