,Activation Mode,Default Binding,Mine,Alt Mine,Note
"VOIP, FOIP, And Head Tracking",,,DT= Double Tap,,"I tend to think of L/R Modifiers as in Left/Right, Lower/Raise, Lock/Release. It just seems easier for me to remember."
Enable Head Tracking (Toggle),,Numpad /,Break,Break,
Head Tracking (Hold),,,,,
Recenter Head Tracking Device (Except TrackIR),,,,,
Enable /Disable Head Tracking For 3rd Person Camera (Toggle),,,,,
VOIP Push To Talk,,Numpad +,,,
VOIP Push To Talk (Proximity Only),,L Alt + Numpad +,,,
FOIP Selfie Cam,,Numpad -,F3,F3,
FOIP Recalibrate,,Numpad *,NONE,NONE,
Cycle Through Audio Channels,,Numpad .,,,
"Quick Keys, Interactions, And Inner Thought",,,,,
Interaction Mode,,F,,,
Activate Inner Thought,,Button 2 (mouse),,,Not sure what this means since its fairly new.
Activate Inner Thought,,Button 1 (mouse),,,
Focus,,Button 3 (mouse),,,
Interaction Mode Zoom In,,Mouse Wheel Up,,,
Interaction Mode Zoom Out,,Mouse Wheel Down,,,
MFD Left,,A,NONE,,
MFD Right,,D,NONE,,
MFD Up,,W,NONE,,
MFD Down,,S,NONE,,
Personal Inner Thought (PIT),,L Alt + F,,,
@ui_CICameraOrbit,,Button 2 (mouse),,,I believe this refers to rotating your character in inventory.
Exit,,Numpad 0,,,
Personal Commodity Inventory (Toggle),,I,,,
Personal Commodity Inventory (Toggle),,I,,,Likely a duplicate.
@ui_CIInteractionLootingToggleView,,Tab,,,
Looting - Toggle Weapon Attachments,,Q,,,
Drop Item,,,,,
Store All Commodities,,,,,
Player Actions - PIT Category,,,,,
Emotes - PIT Category,,,,,
Ship Systems - PIT Category,,,,,
Flight Systems - PIT Category,,,,,
Vehicle Actions - PIT Category,,,,,
Weapon Systems - PIT Category,,,,,
Remote Turret - PIT Category,,,,,
Item Actions - PIT Category,,,,,
Weapon Selection - PIT Category,,,,,
Mobiglass Actions - PIT Category,,,,,
Mining Mode Actions - PIT Category,,L Alt + M,,,
Weapon Select Radial Menu,,2,NONE,,
Weapon Select Radial Menu,,1,NONE,,
Weapon Select Radial Menu,,1,NONE,,
Throwable Select radial Menu,,G,,,
@ui_Consumable_QuickSelectRadialMenu,Hold,4,V,,V for vitamins seems better to me. Used 4 for left leg mount.
