,Activation Mode,Default Binding,Mine,Alt Mine,Note
Social - General,,,DT= Double Tap,,"I tend to think of L/R Modifiers as in Left/Right, Lower/Raise, Lock/Release. It just seems easier for me to remember."
Re-spawn,,F,,,
Exit Seat,Hold,Y,,,Tap or Hold can be changed in Game Settings
@ui_CIUINotificationAccept,,Left Bracket,F9,,
@ui_CIUINotificationDecline,,Right Bracket,F10,,
CommLink App (Toggle),,F11,,,
Chat Window (Toggle),,F12,,,
@ui_CIUIChatCycleLobby,,Tab,,,
Chat Window Focus,,Return,,,
Social - Invites,,,,,
Accept Invite,Hold,Left Bracket,F9,,These Mine will conflict with default Decrease/Increase Throttle bindings. See changes under Power in the Flight page.
Reject Invite,,Right Bracket,F10,,
Ignore Invite (Hold),Hold,Right Bracket,F10,,
Social - Emotes,,,,,
Forward,,Numpad 5,Np 8,,
Left,,Numpad 1,Np 4,,
Right,,Numpad 3,Np 6,,
Stop,,Numpad 2,Np 2,,
Yes,,Numpad 4,Np 1,,
No,,Numpad 6,Np 3,,
Agree,,,Np 7,,
Angry,,,L Alt+Np 1 DT,,
At Ease,,,R Alt+Np 3,,
Attention,,,R Alt+Np 2,,
Blah,,,L Alt+Np Dec DT,,
Bored,,,,,
Bow,,,R Alt+Np 4,,
Burp,,,,,
Cheer,,,R Alt+Np 8,,
Chicken,,,L Alt+Np 3,,
Clap,,,R Alt+Np 7,,
Come,,,R Alt+Np 6,,
Cry,,,L Alt+Np 5,,
Dance,,,R Alt+Np 1,,
Disagree,,,Np 9,,
Failure,,,L Alt+Np 9,,
Flex,,,L Alt+Np 1,,
Flirt,,,R Alt+Np Dec DT,,
Gasp,,,,,
Gloat,,,L Alt+Np 7,,
Greet,,,R Alt+Np 0,,
Laugh,,,L Alt+Np 4,,
Confirm Launch,,,R Alt+Np 9,,
Point,,,R Alt+Np 5,,
Rude,,,,,
Salute,,,L Alt+Np 0,,
Sit,,,L Alt+Np Dec,,
Sleep,,,R Alt+Np Dec,,
Smell,,,L Alt+Np 8,,
Taunt,,,L Alt+Np 6,,
Threaten,,,L Alt+Np 2,,
Wait,,,Np 5,,
Wave,,,Np 0,,
Whistle,,,,,
