,Activation Mode,Default Binding,Mine,Alt Mine,Note
Vehicles - Targeting,,,DT= Double Tap,,"I tend to think of L/R Modifiers as in Left/Right, Lower/Raise, Lock/Release. It just seems easier for me to remember."
Auto Targeting - Toggle On / Off (Long Press),,T,NONE,,
Auto Targeting - Toggle On / Off (Short Press),,,,,
Auto Targeting - Toggle On (Long Press),,,,,
Auto Targeting - Toggle On (Short Press),,,L Alt+T,,
Auto Targeting - Toggle Off (Long Press),,,,,
Auto Targeting - Toggle Off (Short Press),,,R Alt+T,,
Pin Index 1 - Lock/Unlock Pinned Target,,1,,,
Pin Index 2 - Lock/Unlock Pinned Target,,2,,,
Pin Index 3 - Lock/Unlock Pinned Target,,3,,,
Pin Index 1 - Pin/Unpin Selected Target,,Left Alt + 1,NONE,,
Pin Index 2 - Pin/Unpin Selected Target,,Left Alt + 2,NONE,,
Pin Index 3 - Pin/Unpin Selected Target,,Left Alt + 3,NONE,,
Pin Index 1 - Pin/Unpin Selected Target (Hold),,,1,,
Pin Index 2 - Pin/Unpin Selected Target (Hold),,,2,,
Pin Index 3 - Pin/Unpin Selected Target (Hold),,,3,,
Pin Selected Target,,,,,
Unpin Selected Target,,,,,
Pin Selected Target (Hold),,,,,
Unpin Selected Target (Hold),,,,,
Remove All Pinned Targets,,0,0 DT,,
Lock Selected Target,,,,,
Unlock Locked Target,,Left Alt + T,0,,
Enable / Disable Look Ahead,,Left Alt + L,NONE,,This can be set to a default in Game Settings
Enable / Disable Target Padlock (Toggle / Hold),,,,,
Auto Zoom On Selected Target On / Off (Toggle / Hold),,,,,This can be set to a default in Game Settings
Vehicles - Target Cycling,,,,,
Lock Target Under Reticle,,,,,
Cycle Lock - In View - Back,,,,,
Cycle Lock - In View - Forward,,T,,,
Cycle Lock - In View - Under Reticle,,T,,,
Cycle Lock - Pinned - Back,,,,,
Cycle Lock - Pinned - Forward,,,,,
Cycle Lock - Pinned - Reset To First,,,,,
Cycle Lock - Attackers - Back,,,L Alt+4,,
Cycle Lock - Attackers - Forward,,4,R Alt+4,,"If you get radar locked, pressing this will lock the contact that has violated you and your space. Pun intended."
Cycle Lock - Attackers - Reset to Closest,,4,,,
Cycle Lock - Hostiles - Back,,,L Alt+5,,
Cycle Lock - Hostiles - Forward,,5,R Alt+5,,
Cycle Lock - Hostiles - Reset To Closest,,5,,,
Cycle Lock - Friendlies - Back,,,L Alt+6,,
Cycle Lock - Friendlies - Forward,,6,R Alt+6,,
Cycle Lock - Friendlies - Reset to Closest,,6,,,
Cycle Lock - All - Back,,,L Alt+7,,
Cycle Lock - All - Forward,,7,R Alt+7,,
Cycle Lock - All - Reset To Closest,,7,,,
Cycle Lock - Sub Target - Back,,,L Alt+8,,
Cycle Lock - Sub Target - Forward,,R,R Alt+8,,
Cycle Lock - Sub Target - Reset to Main Target,,L Alt + R,8,,
